timestamp,day_of_year,minute_of_day,location_index,original_address,demand,order_id
1725129780,245,13,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6139801139
1725135720,245,112,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6134954975
1725135840,245,114,3,"Aura Pizzas, Sector 4, Delhi NCR",4,6140763362
1725136800,245,130,21,"Swaad, Sector 4, Delhi NCR",1,6128060895
1725137220,245,137,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6139906104
1725137400,245,140,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6132713125
1725137460,245,141,21,"Swaad, Sector 4, Delhi NCR",2,6141878957
1725137640,245,144,21,"Swaad, Sector 4, Delhi NCR",2,6138727282
1725138000,245,150,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6138829998
1725139620,245,177,3,"Aura Pizzas, Sector 4, Delhi NCR",3,6142111594
1725140640,245,194,21,"Swaad, Sector 4, Delhi NCR",1,6129115176
1725140880,245,198,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6136731426
1725141240,245,204,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6141450696
1725141300,245,205,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6139312152
1725143160,245,236,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6135442028
1725168660,245,661,4,"Aura Pizzas, Vasant Kunj, Delhi NCR",1,6136280279
1725168900,245,665,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6137094698
1725169500,245,675,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6134963230
1725172980,245,733,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6140198228
1725173040,245,734,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6129870754
1725173640,245,744,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6138152630
1725174240,245,754,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6117745852
1725174360,245,756,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6134036522
1725175860,245,781,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6139031104
1725176340,245,789,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6140867285
1725176580,245,793,21,"Swaad, Sector 4, Delhi NCR",1,6129647327
1725177480,245,808,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6142942007
1725177600,245,810,4,"Aura Pizzas, Vasant Kunj, Delhi NCR",3,6140292407
1725177720,245,812,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6142091832
1725178020,245,817,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6137126193
1725178740,245,829,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",3,6128955784
1725179820,245,847,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6142712051
1725181020,245,867,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6140836708
1725181200,245,870,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6139096338
1725181920,245,882,3,"Aura Pizzas, Sector 4, Delhi NCR",3,6135578111
1725183060,245,901,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6127726598
1725183300,245,905,2,"Aura Pizzas, Sector 135, Delhi NCR",1,6141187234
1725183360,245,906,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6142034944
1725183660,245,911,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6125475382
1725183840,245,914,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6139352118
1725183960,245,916,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6142040743
1725185760,245,946,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",1,6128781913
1725187140,245,969,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6138567103
1725188220,245,987,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6137474162
1725189420,245,1007,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",3,6135961731
1725189600,245,1010,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",2,6142807671
1725189780,245,1013,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6142635782
1725190680,245,1028,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6137767241
1725191520,245,1042,4,"Aura Pizzas, Vasant Kunj, Delhi NCR",2,6143281804
1725191640,245,1044,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6137640331
1725191700,245,1045,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6137278723
1725192180,245,1053,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",1,6141489751
1725192780,245,1063,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",4,6139878163
1725193020,245,1067,20,"Swaad, Sector 135, Delhi NCR",2,6143768437
1725193380,245,1073,20,"Swaad, Sector 135, Delhi NCR",1,6136593584
1725193380,245,1073,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6126307677
1725194040,245,1084,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",3,6142775797
1725194640,245,1094,2,"Aura Pizzas, Sector 135, Delhi NCR",3,6142790214
1725194700,245,1095,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",1,6143353268
1725195540,245,1109,20,"Swaad, Sector 135, Delhi NCR",1,6143590415
1725196260,245,1121,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6135139514
1725197220,245,1137,21,"Swaad, Sector 4, Delhi NCR",2,6143301652
1725198000,245,1150,21,"Swaad, Sector 4, Delhi NCR",2,6143808250
1725198120,245,1152,26,"Tandoori Junction, Sector 4, Delhi NCR",1,6141713642
1725198240,245,1154,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6143656673
1725198300,245,1155,2,"Aura Pizzas, Sector 135, Delhi NCR",1,6141037375
